d	ENGLISH_M	ENGLISH_F
LOC_ID_RELIC_DESCRIPTION_Lily1_1	A lily of the valley.	
LOC_ID_RELIC_DESCRIPTION2_Lily1_1	Our Lady's tears.	
LOC_ID_RELIC_TITLE_Lily2_1	Lily of the Valley	
LOC_ID_RELIC_DESCRIPTION_Lily2_1	A lily of the valley.	
LOC_ID_RELIC_DESCRIPTION2_Lily2_1	Our Lady's tears.	
LOC_ID_RELIC_TITLE_Lily3_1	Lily of the Valley	
LOC_ID_RELIC_DESCRIPTION_Lily3_1	A lily of the valley.	
LOC_ID_RELIC_DESCRIPTION2_Lily3_1	Our Lady's tears.	
LOC_ID_RELIC_TITLE_PlatformOnAerial_1	Ivy Seed	
LOC_ID_RELIC_DESCRIPTION_PlatformOnAerial_1	Create an <color=purple>Ivy Canopy</color> every time you do an <color=purple>Aerial Recovery</color>.	
LOC_ID_RELIC_DESCRIPTION2_PlatformOnAerial_1	"The shade hangs low, but the roots run deep."	
LOC_ID_RELIC_TITLE_MeatMaxHealth_1	Gnawed Bone	
LOC_ID_RELIC_DESCRIPTION_MeatMaxHealth_1	Eating <color=purple>Health Drops</color> while at <color=purple>Full Health</color> increases <color=purple>Max HP</color> by <color=yellow>10%</color> (Max <color=yellow>{0}</color> stacks).	
LOC_ID_RELIC_DESCRIPTION2_MeatMaxHealth_1	Gnyarf.	
LOC_ID_RELIC_TITLE_ChestHealthRestore_1	Freon's Reward	
LOC_ID_RELIC_DESCRIPTION_ChestHealthRestore_1	Opening chests restores <color=purple>Health</color> (<color=yellow>{0}% of INT.</color>).	
LOC_ID_RELIC_DESCRIPTION2_ChestHealthRestore_1	All poisons have their uses, some more than others.	
LOC_ID_RELIC_TITLE_ExtendInvuln_1	Ambrosia	
LOC_ID_RELIC_DESCRIPTION_ExtendInvuln_1	After taking damage you are <color=purple>Invincible</color> for an additional <color=yellow>{0}</color> seconds.	
LOC_ID_RELIC_DESCRIPTION2_ExtendInvuln_1	Liquified Red Aether.  Given to those whom the Estuaries deemed worthy.	
LOC_ID_RELIC_TITLE_InvulnDamageBuff_1	Rage Tincture	
LOC_ID_RELIC_DESCRIPTION_InvulnDamageBuff_1	After being hit, deal <color=yellow>{0}%</color> more damage during the <color=purple>Invincibility</color> window.	
LOC_ID_RELIC_DESCRIPTION2_InvulnDamageBuff_1	A concoction for soldiers who shall not return.	
LOC_ID_RELIC_TITLE_RelicAmountDamageUp_1	War Drum	
LOC_ID_RELIC_DESCRIPTION_RelicAmountDamageUp_1	<b><color=orange>EPIC RELIC</color></b></LB> Every <color=purple>unique Relic</color> increases your damage by <color=yellow>{0}%</color>.	
LOC_ID_RELIC_DESCRIPTION2_RelicAmountDamageUp_1	A signal to the people to take arms.  There will be no quarter for those who hide.	
LOC_ID_RELIC_TITLE_WeaponBurnAdd_1	Amaterasu's Sun	
LOC_ID_RELIC_DESCRIPTION_WeaponBurnAdd_1	<b><color=orange>MASTER RELIC</color></b></LB> Your <color=purple>Weapon</color> applies (or extends) <color=yellow>Burn</color> for <color=yellow>{0}</color> seconds.	
LOC_ID_RELIC_DESCRIPTION2_WeaponBurnAdd_1	The power rages, scalding those who wield it.	
LOC_ID_RELIC_TITLE_EnemiesDropMeat_1	Body Buffet	
LOC_ID_RELIC_DESCRIPTION_EnemiesDropMeat_1	<b><color=white>RARE RELIC</color></b></LB> Defeated enemies have a <color=yellow>{0}%</color> chance of dropping a <color=purple>Health Drop</color>.	
LOC_ID_RELIC_DESCRIPTION2_EnemiesDropMeat_1	If you're not picky, everything can be delicious.	
LOC_ID_RELIC_TITLE_DamageBuffStatusEffect_1	Catalyst	
LOC_ID_RELIC_DESCRIPTION_DamageBuffStatusEffect_1	Deal <color=yellow>{0}%</color> bonus damage to enemies with a <color=purple>Status Effect</color>.	
LOC_ID_RELIC_DESCRIPTION2_DamageBuffStatusEffect_1	Scientific annihilation.	
LOC_ID_RELIC_TITLE_AttackCooldown_1	The Heavy Stone Bargain	
LOC_ID_RELIC_DESCRIPTION_AttackCooldown_1	<b><color=purple>OATH RELIC</color></b></LB> Your <color=purple>Weapon</color> deals <color=yellow>{0}%</color> more damage, but has a <color=yellow>{1}</color> second cooldown.	
LOC_ID_RELIC_DESCRIPTION2_AttackCooldown_1	"Keep me in hand and no man will dare cross you".	
LOC_ID_RELIC_TITLE_SpinKickArmorBreak_1	Steel-Toed Boots	
LOC_ID_RELIC_DESCRIPTION_SpinKickArmorBreak_1	<b><color=white>RARE RELIC</color></b></LB> <color=purple>Spin Kicks</color> now apply <color=purple>Armor Break</color> for <color=yellow>{0}</color> seconds.	
LOC_ID_RELIC_DESCRIPTION2_SpinKickArmorBreak_1	Weaponized safety gear.	
LOC_ID_RELIC_TITLE_MagicDamageEnemyCount_1	Antikythera	
LOC_ID_RELIC_DESCRIPTION_MagicDamageEnemyCount_1	<b><color=white>RARE RELIC</color></b></LB> Gain <color=yellow>10%</color> more <color=purple>Magic Damage</color> per enemy defeated.  Bonus lost when hit (max <color=yellow>{0}%</color>).	
LOC_ID_RELIC_DESCRIPTION2_MagicDamageEnemyCount_1	A guide for the stars.	
LOC_ID_RELIC_TITLE_NoSpikeDamage_1	Hermes' Boots	
LOC_ID_RELIC_DESCRIPTION_NoSpikeDamage_1	You are <color=purple>Immune</color> to static spikes.	
LOC_ID_RELIC_DESCRIPTION2_NoSpikeDamage_1	"No path was too dangerous for the messenger of the Gods".	
LOC_ID_RELIC_TITLE_ManaRestoreOnHurt_1	Cosmic Insight	
LOC_ID_RELIC_DESCRIPTION_ManaRestoreOnHurt_1	Gain <color=yellow>{0}</color> <color=purple>Mana</color> when hurt.  Mana gained can <color=purple>Overcharge</color>.	
LOC_ID_RELIC_DESCRIPTION2_ManaRestoreOnHurt_1	"In time you will learn that even injuries bring their own advantage."	
LOC_ID_RELIC_TITLE_BonusMana_1	Lotus Petal	
LOC_ID_RELIC_DESCRIPTION_BonusMana_1	Increases your total <color=purple>Mana Pool</color> by <color=yellow>{0}</color>.</LB> Deal <color=yellow>{1}%</color> more <color=purple>Magic Damage</color>.	
LOC_ID_RELIC_DESCRIPTION2_BonusMana_1	White for clarity.  Blue for sincerity.  Pink for harmony.  Yellow for...	
LOC_ID_RELIC_TITLE_WeaponSwap_1	Blessing of Strength	
LOC_ID_RELIC_DESCRIPTION_WeaponSwap_1	Deal <color=yellow>{0}%</color> more <color=purple>Weapon Damage</color>.	
LOC_ID_RELIC_DESCRIPTION2_WeaponBless_1	Favour is given to those who dedicate themselves to the art of war.	
LOC_ID_RELIC_TITLE_SpellSwap_1	Blessing of Wisdom	
LOC_ID_RELIC_DESCRIPTION_SpellSwap_1	Deal <color=yellow>{0}%</color> more <color=purple>Magic Damage</color>.	
LOC_ID_RELIC_DESCRIPTION2_SpellSwap_1	There is no power greater than the thirst for knowledge.	
LOC_ID_RELIC_TITLE_TalentSwap_1	Blessing of Talent	
LOC_ID_RELIC_DESCRIPTION_TalentSwap_1	Gain <color=yellow>20</color> <color=purple>Resolve</color>.	
LOC_ID_RELIC_DESCRIPTION2_TalentSwap_1	Improvisation is true sign of mastery.	
LOC_ID_RELIC_TITLE_FreeFairyChest_1	Skeleton Key	
LOC_ID_RELIC_DESCRIPTION_FreeFairyChest_1	<b><color=white>RARE RELIC</color></b></LB> Open locked or melted <color=purple>Fairy Chests</color>. Breaks after use.	
LOC_ID_RELIC_DESCRIPTION2_FreeFairyChest_1	Every door a window, every chest a reward.	
LOC_ID_RELIC_TITLE_FreeFairyChestUsed_1	Broken Key	
LOC_ID_RELIC_DESCRIPTION_FreeFairyChestUsed_1	A broken key.	
LOC_ID_RELIC_DESCRIPTION2_FreeFairyChestUsed_1	Only good for picking teeth.	
LOC_ID_RELIC_TITLE_NoGoldXPBonus_1	Diogenes' Bargain	
LOC_ID_RELIC_DESCRIPTION_NoGoldXPBonus_1	<b><color=purple>OATH RELIC</color></b></LB> No more gold.  All <color=purple>Gold Bonuses</color> are converted into an <color=purple>XP Bonus</color> (<color=yellow>{0}%</color>) instead.	
LOC_ID_RELIC_DESCRIPTION2_NoGoldXPBonus_1	"It is the privilege of the gods to want nothing, and of god-like men to want little."	
LOC_ID_RELIC_TITLE_DashStrikeDamageUp_1	Vanguard's Banner	
LOC_ID_RELIC_DESCRIPTION_DashStrikeDamageUp_1	<b><color=orange>EPIC RELIC</color></b></LB> Dashing creates a wave that destroys <color=purple>Mid-sized Projectiles</color>.</LB> Waves travel <color=yellow>{0}</color> units.	
LOC_ID_RELIC_DESCRIPTION2_DashStrikeDamageUp_1	Those in the forefront know what their lives are for.	
LOC_ID_RELIC_TITLE_AllCritChanceUp_1	Clotho's Spindle	
LOC_ID_RELIC_DESCRIPTION_AllCritChanceUp_1	Critical chance for <color=purple>Spells and Weapons</color> increased by <color=yellow>{0}%</color>.	
LOC_ID_RELIC_DESCRIPTION2_AllCritChanceUp_1	Stronger than you think.	
LOC_ID_RELIC_TITLE_AllCritDamageUp_1	Atropos' Scissors	
LOC_ID_RELIC_DESCRIPTION_AllCritDamageUp_1	Critical damage from <color=purple>Spells and Weapons</color> increased by <color=yellow>{0}%</color>.	
LOC_ID_RELIC_DESCRIPTION2_AllCritDamageUp_1	Fate wills it.	
LOC_ID_RELIC_TITLE_CritKillsHeal_1	Lachesis' Measure	
LOC_ID_RELIC_DESCRIPTION_CritKillsHeal_BACKUP_1	<b><color=orange>MASTER RELIC</color></b></LB> Enemies defeated with a critical hit restore <color=yellow>{0}%</color> of your <color=purple>Max Health</color>.	
LOC_ID_RELIC_DESCRIPTION2_CritKillsHeal_1	Mortality measured.	
LOC_ID_RELIC_TITLE_ResolveCombatChallenge_1	Pandora's Trial	
LOC_ID_RELIC_DESCRIPTION_ResolveCombatChallenge_1	<b><color=red>CURSED RELIC</color></b></LB> Until purified, any hit taken is <color=red>Fatal</color>.</LB> Defeat <color=yellow>{0}</color> enemies to purify this relic and gain <color=yellow>{1}</color> <color=purple>Resolve</color>.	
LOC_ID_RELIC_DESCRIPTION2_ResolveCombatChallenge_1	Some things are best left alone.	
LOC_ID_RELIC_TITLE_ResolveCombatChallengeUsed_1	Pandora's Reward	
LOC_ID_RELIC_DESCRIPTION_ResolveCombatChallengeUsed_1	<b><color=orange>PURIFIED RELIC</color></b></LB> Resolve has increased by <color=yellow>{0}</color> points.	
LOC_ID_RELIC_DESCRIPTION2_ResolveCombatChallengeUsed_1	Rewards belong to those deserving.	
LOC_ID_RELIC_TITLE_MaxManaDamage_1	Zealot's Ring	
LOC_ID_RELIC_DESCRIPTION_MaxManaDamage_1	Spells cast while at <color=purple>Max MP</color> deal an additional <color=yellow>{0}%</color> damage.	
LOC_ID_RELIC_DESCRIPTION2_MaxManaDamage_1	Power to the pious.	
LOC_ID_RELIC_TITLE_FreeHitRegenerate_1	Coeus' Shell	
LOC_ID_RELIC_DESCRIPTION_FreeHitRegenerate_1	<b><color=orange>EPIC RELIC</color></b></LB> Defeat <color=yellow>{0}</color> enemies to prevent the next source of damage.	
LOC_ID_RELIC_DESCRIPTION2_FreeHitRegenerate_1	A shell composed of keratin and a strange alloy.  A note inside says "I.O.U".	
LOC_ID_RELIC_TITLE_WeaponComboAdd_1	Boxing Bell	
LOC_ID_RELIC_DESCRIPTION_WeaponComboAdd_1	<b><color=orange>EPIC RELIC</color></b></LB> Your <color=purple>Weapon</color> applies <color=yellow>Combo</color>.	
LOC_ID_RELIC_DESCRIPTION2_WeaponComboAdd_1	Keep standing and keep fighting.  The bell rings only for the weary.	
LOC_ID_RELIC_TITLE_LowHealthStatBonus_1	Hector's Helm	
LOC_ID_RELIC_DESCRIPTION_LowHealthStatBonus_1	While BELOW <color=red>{1}%</color> Health, deal <color=yellow>{0}%</color> more <color=purple>Spell and Weapon</color> damage.	
LOC_ID_RELIC_DESCRIPTION2_LowHealthStatBonus_1	An honorable death.	
LOC_ID_RELIC_TITLE_MaxHealthStatBonus_1	Achilles' Shield	
LOC_ID_RELIC_DESCRIPTION_MaxHealthStatBonus_1	While ABOVE <color=red>{1}%</color> Health, deal <color=yellow>{0}%</color> more <color=purple>Spell and Weapon</color> damage.	
LOC_ID_RELIC_DESCRIPTION2_MaxHealthStatBonus_1	No strength in weakness.	
LOC_ID_RELIC_TITLE_AimSlowTime_1	Incandescent Telescope	
LOC_ID_RELIC_DESCRIPTION_AimSlowTime_1	Aiming a <color=purple>Spell</color> slows time.	
LOC_ID_RELIC_DESCRIPTION2_AimSlowTime_1	"The light acts as a warning.  We see you, you see us."	
LOC_ID_RELIC_TITLE_SporeburstKillAdd_1	Weird Mushrooms	
LOC_ID_RELIC_DESCRIPTION_SporeburstKillAdd_1	<b><color=white>RARE RELIC</color></b></LB> Defeated enemies have <color=yellow>Spore Burst</color> applied to them.	
LOC_ID_RELIC_DESCRIPTION2_SporeburstKillAdd_1	Tastes like poison.	
LOC_ID_RELIC_TITLE_ReplacementRelic_1	Empty Vessel	
LOC_ID_RELIC_DESCRIPTION_ReplacementRelic_1	Gain <color=yellow>{0}%</color> bonus <color=purple>Health</color>, <color=purple>Weapon</color>, and <color=purple>Magic Damage</color>.	
LOC_ID_RELIC_DESCRIPTION2_ReplacementRelic_1	A replacement for that which has been lost.	
LOC_ID_RELIC_TITLE_FatalBlowDodge_1	Grave Bell	
LOC_ID_RELIC_DESCRIPTION_FatalBlowDodge_1	<color=white><b>RARE RELIC</color></b></LB> You have a <color=yellow>{0}%</color> chance of avoiding a <color=purple>Fatal Blow</color>.	
LOC_ID_RELIC_DESCRIPTION2_FatalBlowDodge_1	"Mourn the dead, not the living."	
LOC_ID_RELIC_TITLE_GoldCombatChallenge_1	Charon's Trial	
LOC_ID_RELIC_DESCRIPTION_GoldCombatChallenge_1	<b><color=red>CURSED RELIC</color></b></LB> Until purified, any hit taken is <color=red>Fatal</color>.  Defeat <color=yellow>{0}</color> enemies to purify it and gain a <color=yellow>{1}%</color> <color=purple>Gold, Ore, and Aether</color> bonus.	
LOC_ID_RELIC_DESCRIPTION2_GoldCombatChallenge_1	The toll must be paid.	
LOC_ID_RELIC_TITLE_GoldCombatChallengeUsed_1	Charon's Reward	
LOC_ID_RELIC_DESCRIPTION_GoldCombatChallengeUsed_1	<b><color=orange>PURIFIED RELIC</color></b></LB> Gain a <color=yellow>{0}%</color> <color=purple>Gold, Ore and Aether</color> bonus.	
LOC_ID_RELIC_DESCRIPTION2_GoldCombatChallengeUsed_1	A deal, delayed.	
LOC_ID_RELIC_TITLE_ManaDamageReduction_1	Lotus Stem	
LOC_ID_RELIC_DESCRIPTION_ManaDamageReduction_1	<b><color=orange>EPIC RELIC</color></b></LB> Blocks up to {0} attacks.  Consumes <color=yellow>{1}</color> Mana per block.  Mana potions restore charges.	
LOC_ID_RELIC_DESCRIPTION2_ManaDamageReduction_1	"Longer than you, longer than me, the Lotus Flower will outlive us all".	
LOC_ID_RELIC_TITLE_AttackExhaust_1	The Heavy Stone Bargain	
LOC_ID_RELIC_DESCRIPTION_AttackExhaust_1	<b><color=purple>OATH RELIC</color></b></LB> Your <color=purple>Weapon</color> deals <color=yellow>{0}%</color> more damage, but you have <color=yellow>25</color> <color=purple>Exhaust</color>.	
LOC_ID_RELIC_DESCRIPTION2_AttackExhaust_1	"Keep me in hand and no man will dare cross you."	
LOC_ID_RELIC_TITLE_SuperCritChanceUp_1	Obelisk	
LOC_ID_RELIC_DESCRIPTION_SuperCritChanceUp_1	Your <color=purple>Skill Crits</color> have an extra <color=yellow>{0}%</color> chance of becoming <color=purple>Super Crits</color>.	
LOC_ID_RELIC_DESCRIPTION2_SuperCritChanceUp_1	Provide providence.	
LOC_ID_RELIC_TITLE_FreeBossFight_1	Hand Mirror	
LOC_ID_RELIC_DESCRIPTION_FreeBossFight_1	<color=white><b>RARE RELIC</color></b></LB> You can open broken <color=purple>Boss Doors</color>.	
LOC_ID_RELIC_DESCRIPTION2_FreeBossFight_1	Assert dominance.	
LOC_ID_RELIC_TITLE_FreeBossFightUsed_1	Broken Hand Mirror	
LOC_ID_RELIC_DESCRIPTION_FreeBossFightUsed_1	<color=white><b>RARE RELIC</color></b></LB> A weightful reminder.	
LOC_ID_RELIC_DESCRIPTION2_FreeBossFightUsed_1	Victory ordained.	
LOC_ID_RELIC_TITLE_DragonKeyBlack_1	Onyx Key	
LOC_ID_RELIC_DESCRIPTION_DragonKeyBlack_1	<b><color=orange>EPIC RELIC</color></b></LB> A black key.	
LOC_ID_RELIC_DESCRIPTION2_DragonKeyBlack_1	"One chain to suppress the power..."	
LOC_ID_RELIC_TITLE_DragonKeyWhite_1	Pearl Key	
LOC_ID_RELIC_DESCRIPTION_DragonKeyWhite_1	<b><color=orange>EPIC RELIC</color></b></LB> A white key.	
LOC_ID_RELIC_DESCRIPTION2_DragonKeyWhite_1	"... The other to supress the will."	
LOC_ID_RELIC_TITLE_WeaponPoisonAdd_1	Serqet's Stinger	
LOC_ID_RELIC_DESCRIPTION_WeaponPoisonAdd_1	<b><color=orange>MASTER RELIC</color></b></LB> Your <color=purple>Weapon</color> applies <color=yellow>{0}</color> stack(s) of <color=yellow>Poison</color>.	
LOC_ID_RELIC_DESCRIPTION2_WeaponPoisonAdd_1	"The sting is quick, but the pain is endless."	
LOC_ID_RELIC_TITLE_FoodHealsMore_1	Cornucopia	
LOC_ID_RELIC_DESCRIPTION_FoodHealsMore_1	Health Drops restore an additional <color=yellow>{0}%</color> of your <color=purple>Max Health</color>.	
LOC_ID_RELIC_DESCRIPTION2_FoodHealsMore_1	"Be generous to others, you have more than you know."	
LOC_ID_RELIC_TITLE_SpellKillMaxMana_1	Dreamcatcher	
LOC_ID_RELIC_DESCRIPTION_SpellKillMaxMana_1	<color=white><b>RARE RELIC</color></b></LB> Defeat enemies while at <color=purple>Max HP</color> to gain <color=yellow>{0}</color> <color=purple>Max Mana</color> (Max <color=yellow>{1}</color>).	
LOC_ID_RELIC_DESCRIPTION2_SpellKillMaxMana_1	"To appreciate the good, one must filter the bad."	
LOC_ID_RELIC_TITLE_ExtraLife_Unity_1	Ancestral Soul	
LOC_ID_RELIC_DESCRIPTION_ExtraLife_Unity_1	Revive from fatal blows and regain <color=yellow>50%</color> of your HP.	
LOC_ID_RELIC_DESCRIPTION2_ExtraLife_Unity_1	A sacrifice from lives past.	
LOC_ID_RELIC_TITLE_ExtraLife_UnityUsed_1	Ancestral Dust	
LOC_ID_RELIC_DESCRIPTION_ExtraLife_UnityUsed_1	A pile of dust.	
LOC_ID_RELIC_DESCRIPTION2_ExtraLife_UnityUsed_1	A reminder to honor the others.	
LOC_ID_RELIC_TITLE_StatusEffectElusive_1	Boxing Duck	
LOC_ID_RELIC_DESCRIPTION_StatusEffectElusive_1	<b><color=orange>EPIC RELIC</color></b></LB> You are <color=purple>Elusive</color> and take <color=yellow>{0}%</color> less damage.	
LOC_ID_RELIC_DESCRIPTION2_StatusEffectElusive_1	"... We asked for a boxer ducking."	
LOC_ID_RELIC_TITLE_DanceStacks_1	Silk Slippers	
LOC_ID_RELIC_DESCRIPTION_DanceStacks_1	<b><color=orange>EPIC RELIC</color></b></LB> Your <color=purple>Spin Kicks</color> grant you <color=yellow>{0}</color> stack(s) of <color=yellow>Dance</color>.	
LOC_ID_RELIC_DESCRIPTION2_DanceStacks_1	"The sky is your playground, and the floor is your foe."	
LOC_ID_RELIC_TITLE_StatusEffectSuave_1	Shades	
LOC_ID_RELIC_DESCRIPTION_StatusEffectSuave_1	<b><color=orange>EPIC RELIC</color></b></LB> You are <color=purple>Suave</color>, and all Weapon attacks have additional <color=yellow>{0}%</color> INT scaling.	
LOC_ID_RELIC_DESCRIPTION2_StatusEffectSuave_1	Best worn indoors.	
LOC_ID_RELIC_TITLE_LowResolveWeaponDamage_1	Raven's Ring	
LOC_ID_RELIC_DESCRIPTION_LowResolveWeaponDamage_1	<color=white><b>RARE RELIC</color></b></LB> For every point of Resolve below <color=yellow>{2}%</color>, deal an additional <color=yellow>{0}%</color> bonus Weapon damage (Current bonus <color=yellow>{1}%</color>).	
LOC_ID_RELIC_DESCRIPTION2_LowResolveWeaponDamage_1	Some run from death.  Others embrace it.	
LOC_ID_RELIC_TITLE_LowResolveMagicDamage_1	Heron's Ring	
LOC_ID_RELIC_DESCRIPTION_LowResolveMagicDamage_1	<color=white><b>RARE RELIC</color></b></LB> For every point of Resolve below <color=yellow>{2}%</color>, deal an additional <color=yellow>{0}%</color> bonus Magic damage (Current bonus <color=yellow>{1}%</color>).	
LOC_ID_RELIC_DESCRIPTION2_LowResolveMagicDamage_1	On the battlefield, one must always beware the frail soldier.	
LOC_ID_RELIC_TITLE_OnHitAreaDamage_1	Soul Tether	
LOC_ID_RELIC_DESCRIPTION_OnHitAreaDamage_1	<b><color=orange>EPIC RELIC</color></b></LB> Every <color=yellow>{0}</color> seconds, your next Weapon attack deals <color=yellow>{1}%</color> bonus Magic damage to all nearby enemies.	
LOC_ID_RELIC_DESCRIPTION2_OnHitAreaDamage_1	No one is truly alone, no matter what you believe.	
LOC_ID_RELIC_TITLE_GroundDamageBonus_1	Ivy Roots	
LOC_ID_RELIC_DESCRIPTION_GroundDamageBonus_1	Deal <color=yellow>{0}%</color> bonus damage while on the ground.	
LOC_ID_RELIC_DESCRIPTION2_GroundDamageBonus_1	Stand your ground, the roots will bind you.	
LOC_ID_RELIC_TITLE_ProjectileDashStart_1	Corrupting Reagent	
LOC_ID_RELIC_DESCRIPTION_ProjectileDashStart_1	<color=white><b>RARE RELIC</color></b></LB> Dashing leaves a poisonous cloud behind for <color=yellow>{1}</color> second(s).	
LOC_ID_RELIC_DESCRIPTION2_ProjectileDashStart_1	Not for consumption.	
LOC_ID_RELIC_TITLE_RollOnDash_1	Holy Hoop	
LOC_ID_RELIC_DESCRIPTION_RollOnDash_1	After dashing, your character will perform a Roll.	
LOC_ID_RELIC_DESCRIPTION2_RollOnDash_1	More than just for show.	
LOC_ID_RELIC_TITLE_SkillCritBonus_1	Lamech's Whetstone	
LOC_ID_RELIC_DESCRIPTION_SkillCritBonus_1	<b><color=white>RARE RELIC</color></b></LB> <color=purple>Weapon Skill Crits</color> now apply <color=purple>Magic Break</color> for <color=yellow>{0}</color> seconds.	
LOC_ID_RELIC_DESCRIPTION2_SkillCritBonus_1	Perfection is the drive, not the goal.	
LOC_ID_RELIC_TITLE_RangeDamageBonusCurse_1	Incandescent Telescope	
LOC_ID_RELIC_DESCRIPTION_RangeDamageBonusCurse_1	Deal <color=yellow>{0}%</color> more damage to enemies far away.	
LOC_ID_RELIC_DESCRIPTION2_RangeDamageBonusCurse_1	Safety in distance.	
LOC_ID_RELIC_TITLE_SpinKickLeavesCaltrops_1	Caltrops	
LOC_ID_RELIC_DESCRIPTION_SpinKickLeavesCaltrops_1	<b><color=white>RARE RELIC</color></b></LB> Every <color=yellow>{0}</color> second(s) your next <color=purple>Spin Kick</color> will leave behind Caltrops.</LB> Taking damage resets the counter.  Caltrops apply <color=purple>Poison</color>.	
LOC_ID_RELIC_DESCRIPTION2_SpinKickLeavesCaltrops_1	In war there is only escalation.  Be wary of what you bring to the table.	
LOC_ID_RELIC_TITLE_FlightBonusCurse_1	The Icarus' Wings Bargain	
LOC_ID_RELIC_DESCRIPTION_FlightBonusCurse_1	<b><color=purple>OATH RELIC</color></b></LB> Jumping in the air enables <color=yellow>Flight</color>, but you take <color=red>{0}%</color> extra damage.	
LOC_ID_RELIC_DESCRIPTION2_FlightBonusCurse_1	Beware the dangers of false confidence.	
LOC_ID_RELIC_TITLE_DamageAuraOnHit_1	Voltaic Circlet	
LOC_ID_RELIC_DESCRIPTION_DamageAuraOnHit_1	<b><color=white>RARE RELIC</color></b></LB> Hitting an enemy with your Weapon will generate a damage aura around you for <color=yellow>{0}</color> seconds.	
LOC_ID_RELIC_DESCRIPTION2_DamageAuraOnHit_1	Energy through friction.	
LOC_ID_RELIC_TITLE_LandShockwave_1	Marble Statue	
LOC_ID_RELIC_DESCRIPTION_LandShockwave_1	Landing creates a small shockwave that destroys <color=purple>Mid-sized Projectiles</color> and deals <color=yellow>{0}%</color> Magic damage.	
LOC_ID_RELIC_DESCRIPTION2_LandShockwave_1	A perfect moment, crafted in eternity.	
LOC_ID_RELIC_TITLE_FoodChallenge_1	Demeter's Trial	
LOC_ID_RELIC_DESCRIPTION_FoodChallenge_1	<b><color=red>CURSED RELIC</color></b></LB> Until purified, any hit taken is <color=red>Fatal</color>.  Collect <color=yellow>{0}</color> food/potion(s) to purify this Relic and gain <color=yellow>{1}</color> <color=purple>Max Health</color> and <color=yellow>50</color> <color=purple>Mana</color>.	
LOC_ID_RELIC_DESCRIPTION2_FoodChallenge_1	Those who give now will be rewarded later.	
LOC_ID_RELIC_TITLE_FoodChallengeUsed_1	Demeter's Reward	
LOC_ID_RELIC_DESCRIPTION_FoodChallengeUsed_1	<b><color=orange>PURIFIED RELIC</color></b></LB> Max Health increased by <color=yellow>{0}</color>.  Max Mana increased by <color=yellow>{1}</color>.	
LOC_ID_RELIC_DESCRIPTION2_FoodChallengeUsed_1	Good things come to those who share.	
LOC_ID_RELIC_TITLE_FreeCastSpell_1	Arcane Necklace	
LOC_ID_RELIC_DESCRIPTION_FreeCastSpell_1	Cast <color=yellow>{0}</color> Spell(s) to charge the necklace, and make the next cast free.	
LOC_ID_RELIC_DESCRIPTION2_FreeCastSpell_1	Never trust the jewellery of royalty.  They provide more protection than the soldiers around them.	
LOC_ID_RELIC_TITLE_NoAttackDamageBonus_1	Red Sand Hourglass	
LOC_ID_RELIC_DESCRIPTION_NoAttackDamageBonus_1	Every <color=yellow>{0}</color> seconds your next Weapon attack deals <color=yellow>{1}%</color> bonus damage.  Timer resets if you take damage.	
LOC_ID_RELIC_DESCRIPTION2_NoAttackDamageBonus_1	Time treats some people better than others.	
LOC_ID_RELIC_TITLE_DamageNoHitChallenge_1	Aite's Sword	
LOC_ID_RELIC_DESCRIPTION_DamageNoHitChallenge_1	<b><color=white>RARE RELIC</color></b></LB> You deal <color=yellow>{0}%</color> more damage, but this Relic is fragile.	
LOC_ID_RELIC_DESCRIPTION2_DamageNoHitChallenge_1	All the power...	
LOC_ID_RELIC_TITLE_DamageNoHitChallengeUsed_1	Aite's Broken Sword	
LOC_ID_RELIC_DESCRIPTION_DamageNoHitChallengeUsed_1	This Relic is broken and no longer grants any power.	
LOC_ID_RELIC_DESCRIPTION2_DamageNoHitChallengeUsed_1	... At a cost.	
LOC_ID_RELIC_TITLE_SpinKickDamageBonus_1	Weighted Anklet	
LOC_ID_RELIC_DESCRIPTION_SpinKickDamageBonus_1	Your <color=purple>Spin Kicks</color> deal <color=yellow>{0}%</color> more damage.	
LOC_ID_RELIC_DESCRIPTION2_SpinKickDamageBonus_1	Beware the allure of gold.  It is heavier than it looks.	
LOC_ID_RELIC_DESCRIPTION_LowResolveWeaponDamage_3	<color=white><b>RARE RELIC</color></b></LB> Gain bonus Weapon Damage for every point in Resolve below 125%.	
LOC_ID_RELIC_DESCRIPTION_LowResolveMagicDamage_3	<color=white><b>RARE RELIC</color></b></LB> Gain bonus Magic Damage for every point in Resolve below 125%.	
LOC_ID_RELIC_DESCRIPTION_FoodChallenge_3	<b><color=red>CURSED RELIC</color></b></LB> Until purified, any hit taken is <color=red>Fatal</color>.</LB> Collect food/potions to purify this Relic and gain Max Health and Max Mana.	
LOC_ID_RELIC_TITLE_CurseRandomRelics_1	Mammon's Bounty	
LOC_ID_RELIC_DESCRIPTION_CurseRandomRelics_1	<b><color=purple>OATH RELIC</color></b></LB> Gain <color=yellow>{1}</color> random <color=purple>Relic(s)</color> and <color=yellow>{0}</color> <color=purple>Bonus Resolve</color> per <color=purple>Mammon's Bounty</color>.	
LOC_ID_RELIC_DESCRIPTION2_CurseRandomRelics_1	Leave nothing, not even the scraps.	
